Local time,Open,High,Low,Close,Volume
14.01.2023 14:00:00.000 GMT-0000,11523.029,11523.029,11523.029,11523.029,0
14.01.2023 15:00:00.000 GMT-0000,11523.029,11523.029,11523.029,11523.029,0
14.01.2023 16:00:00.000 GMT-0000,11523.029,11523.029,11523.029,11523.029,0
14.01.2023 17:00:00.000 GMT-0000,11523.029,11523.029,11523.029,11523.029,0
14.01.2023 18:00:00.000 GMT-0000,11523.029,11523.029,11523.029,11523.029,0
14.01.2023 19:00:00.000 GMT-0000,11523.029,11523.029,11523.029,11523.029,0
14.01.2023 20:00:00.000 GMT-0000,11523.029,11523.029,11523.029,11523.029,0
14.01.2023 21:00:00.000 GMT-0000,11523.029,11523.029,11523.029,11523.029,0
14.01.2023 22:00:00.000 GMT-0000,11523.029,11523.029,11523.029,11523.029,0
14.01.2023 23:00:00.000 GMT-0000,11523.029,11523.029,11523.029,11523.029,0
15.01.2023 00:00:00.000 GMT-0000,11523.029,11523.029,11523.029,11523.029,0
15.01.2023 01:00:00.000 GMT-0000,11523.029,11523.029,11523.029,11523.029,0
15.01.2023 02:00:00.000 GMT-0000,11523.029,11523.029,11523.029,11523.029,0
15.01.2023 03:00:00.000 GMT-0000,11523.029,11523.029,11523.029,11523.029,0
15.01.2023 04:00:00.000 GMT-0000,11523.029,11523.029,11523.029,11523.029,0
15.01.2023 05:00:00.000 GMT-0000,11523.029,11523.029,11523.029,11523.029,0
15.01.2023 06:00:00.000 GMT-0000,11523.029,11523.029,11523.029,11523.029,0
15.01.2023 07:00:00.000 GMT-0000,11523.029,11523.029,11523.029,11523.029,0
